No.,Time,Source,Destination,Protocol,Length,Info
39,0.790892,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=391 Ack=11663 Win=2981 Len=0
45,0.833614,172.16.64.10,10.80.0.50,TDS,93,Response
46,0.83372,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
51,0.87395,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=430 Ack=12829 Win=2981 Len=0
58,0.916721,172.16.64.10,10.80.0.50,TDS,93,Response
59,0.916899,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
65,0.956884,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=469 Ack=13995 Win=2981 Len=0
73,1.015195,172.16.64.10,10.80.0.50,TDS,93,Response
74,1.015338,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call
78,1.056006,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=508 Ack=15161 Win=2981 Len=0
84,1.103777,172.16.64.10,10.80.0.50,TDS,93,Response
85,1.103924,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
91,1.143987,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=547 Ack=16327 Win=2981 Len=0
96,1.198043,172.16.64.10,10.80.0.50,TDS,93,Response
97,1.198141,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
101,1.238058,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=586 Ack=17493 Win=2981 Len=0
107,1.280305,172.16.64.10,10.80.0.50,TDS,93,Response
108,1.280486,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
113,1.321007,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=625 Ack=18659 Win=2981 Len=0
119,1.362321,172.16.64.10,10.80.0.50,TDS,93,Response
120,1.362423,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
127,1.402901,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=664 Ack=19825 Win=2981 Len=0
132,1.445468,172.16.64.10,10.80.0.50,TDS,93,Response
133,1.445579,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
137,1.485987,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=703 Ack=20991 Win=2981 Len=0
143,1.527853,172.16.64.10,10.80.0.50,TDS,93,Response
144,1.527942,10.80.0.50,172.16.64.10,TDS,1222,Remote Procedure Call[Malformed Packet]
149,1.567931,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=742 Ack=22159 Win=2981 Len=0
156,1.609769,172.16.64.10,10.80.0.50,TDS,93,Response
157,1.609872,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
161,1.649942,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=781 Ack=23325 Win=3127 Len=0
163,1.691289,172.16.64.10,10.80.0.50,TDS,93,Response
164,1.691404,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
165,1.691845,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=820 Ack=24491 Win=3273 Len=0
167,1.774428,172.16.64.10,10.80.0.50,TDS,93,Response
168,1.774545,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
169,1.774941,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=859 Ack=25657 Win=3419 Len=0
171,1.865871,172.16.64.10,10.80.0.50,TDS,93,Response
172,1.865976,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
173,1.866411,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=898 Ack=26823 Win=3499 Len=0
176,1.949962,172.16.64.10,10.80.0.50,TDS,93,Response
177,1.950047,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
178,1.990015,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=937 Ack=27989 Win=3499 Len=0
182,2.038133,172.16.64.10,10.80.0.50,TDS,93,Response
183,2.03825,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
186,2.077934,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=976 Ack=29155 Win=3499 Len=0
187,2.120052,172.16.64.10,10.80.0.50,TDS,93,Response
188,2.120224,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
189,2.159966,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=1015 Ack=30321 Win=3499 Len=0
190,2.204058,172.16.64.10,10.80.0.50,TDS,93,Response
191,2.204189,10.80.0.50,172.16.64.10,TDS,1222,Remote Procedure Call[Malformed Packet]
192,2.243986,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=1054 Ack=31489 Win=3499 Len=0
193,2.286018,172.16.64.10,10.80.0.50,TDS,93,Response
194,2.286139,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
195,2.286562,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=1093 Ack=32655 Win=3499 Len=0
197,2.368232,172.16.64.10,10.80.0.50,TDS,93,Response
198,2.368358,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
199,2.409039,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=1132 Ack=33821 Win=3499 Len=0
201,2.451256,172.16.64.10,10.80.0.50,TDS,93,Response
202,2.451392,10.80.0.50,172.16.64.10,TDS,1222,Remote Procedure Call[Malformed Packet]
204,2.49201,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=1171 Ack=34989 Win=3499 Len=0
205,2.533142,172.16.64.10,10.80.0.50,TDS,93,Response
206,2.533275,10.80.0.50,172.16.64.10,TDS,1222,Remote Procedure Call[Malformed Packet]
207,2.572991,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=1210 Ack=36157 Win=3499 Len=0
209,2.615069,172.16.64.10,10.80.0.50,TDS,93,Response
210,2.615163,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
211,2.615588,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=1249 Ack=37323 Win=3499 Len=0
212,2.698618,172.16.64.10,10.80.0.50,TDS,93,Response
213,2.698726,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
214,2.738977,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=1288 Ack=38489 Win=3499 Len=0
215,2.781828,172.16.64.10,10.80.0.50,TDS,93,Response
216,2.781922,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
217,2.822008,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=1327 Ack=39655 Win=3499 Len=0
218,2.863276,172.16.64.10,10.80.0.50,TDS,93,Response
219,2.863455,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
220,2.904003,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=1366 Ack=40821 Win=3499 Len=0
221,2.945259,172.16.64.10,10.80.0.50,TDS,93,Response
222,2.945388,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
225,2.985935,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=1405 Ack=41987 Win=3499 Len=0
226,3.029847,172.16.64.10,10.80.0.50,TDS,93,Response
227,3.029975,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
231,3.069907,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=1444 Ack=43153 Win=3499 Len=0
233,3.111812,172.16.64.10,10.80.0.50,TDS,93,Response
234,3.111938,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
236,3.151998,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=1483 Ack=44319 Win=3499 Len=0
237,3.19304,172.16.64.10,10.80.0.50,TDS,93,Response
238,3.193142,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
239,3.233007,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=1522 Ack=45485 Win=3499 Len=0
241,3.275973,172.16.64.10,10.80.0.50,TDS,93,Response
242,3.276112,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
243,3.315982,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=1561 Ack=46651 Win=3499 Len=0
244,3.358219,172.16.64.10,10.80.0.50,TDS,93,Response
245,3.358326,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
246,3.397982,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=1600 Ack=47817 Win=3499 Len=0
247,3.441383,172.16.64.10,10.80.0.50,TDS,93,Response
248,3.441573,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
249,3.481986,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=1639 Ack=48983 Win=3499 Len=0
250,3.525875,172.16.64.10,10.80.0.50,TDS,93,Response
251,3.526002,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
253,3.566005,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=1678 Ack=50149 Win=3499 Len=0
254,3.608781,172.16.64.10,10.80.0.50,TDS,93,Response
255,3.608908,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
256,3.64897,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=1717 Ack=51315 Win=3499 Len=0
258,3.691594,172.16.64.10,10.80.0.50,TDS,93,Response
259,3.691722,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
261,3.731991,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=1756 Ack=52481 Win=3499 Len=0
262,3.776694,172.16.64.10,10.80.0.50,TDS,93,Response
263,3.776803,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
264,3.817026,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=1795 Ack=53647 Win=3499 Len=0
267,3.865473,172.16.64.10,10.80.0.50,TDS,93,Response
268,3.8656,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call
269,3.906006,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=1834 Ack=54813 Win=3499 Len=0
270,3.951398,172.16.64.10,10.80.0.50,TDS,93,Response
271,3.951509,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
272,3.991938,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=1873 Ack=55979 Win=3499 Len=0
273,4.03542,172.16.64.10,10.80.0.50,TDS,93,Response
274,4.03552,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
275,4.075967,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=1912 Ack=57145 Win=3499 Len=0
278,4.129642,172.16.64.10,10.80.0.50,TDS,93,Response
279,4.129756,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
282,4.169885,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=1951 Ack=58311 Win=3499 Len=0
284,4.216407,172.16.64.10,10.80.0.50,TDS,93,Response
285,4.216515,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
286,4.256956,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=1990 Ack=59477 Win=3499 Len=0
287,4.301327,172.16.64.10,10.80.0.50,TDS,93,Response
288,4.301423,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
290,4.342033,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=2029 Ack=60643 Win=3499 Len=0
291,4.384146,172.16.64.10,10.80.0.50,TDS,93,Response
292,4.384245,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
293,4.424062,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=2068 Ack=61809 Win=3499 Len=0
295,4.490118,172.16.64.10,10.80.0.50,TDS,93,Response
296,4.490254,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
297,4.529961,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=2107 Ack=62975 Win=3499 Len=0
298,4.575275,172.16.64.10,10.80.0.50,TDS,93,Response
299,4.575386,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
301,4.615988,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=2146 Ack=64141 Win=3499 Len=0
302,4.658336,172.16.64.10,10.80.0.50,TDS,93,Response
303,4.658477,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
304,4.69899,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=2185 Ack=65307 Win=3499 Len=0
306,4.741569,172.16.64.10,10.80.0.50,TDS,93,Response
307,4.741697,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call
308,4.782041,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=2224 Ack=66473 Win=3499 Len=0
309,4.824211,172.16.64.10,10.80.0.50,TDS,93,Response
310,4.824313,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
311,4.86502,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=2263 Ack=67639 Win=3499 Len=0
312,4.927939,172.16.64.10,10.80.0.50,TDS,93,Response
313,4.928034,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
314,4.968035,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=2302 Ack=68805 Win=3499 Len=0
315,5.011744,172.16.64.10,10.80.0.50,TDS,93,Response
316,5.011852,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
317,5.051971,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=2341 Ack=69971 Win=3499 Len=0
319,5.095874,172.16.64.10,10.80.0.50,TDS,93,Response
320,5.095984,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
323,5.135963,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=2380 Ack=71137 Win=3499 Len=0
325,5.185524,172.16.64.10,10.80.0.50,TDS,93,Response
326,5.185649,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
329,5.225977,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=2419 Ack=72303 Win=3499 Len=0
331,5.270492,172.16.64.10,10.80.0.50,TDS,93,Response
332,5.270603,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
334,5.310873,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=2458 Ack=73469 Win=3499 Len=0
335,5.352109,172.16.64.10,10.80.0.50,TDS,93,Response
336,5.35222,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
337,5.392003,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=2497 Ack=74635 Win=3499 Len=0
338,5.444768,172.16.64.10,10.80.0.50,TDS,93,Response
339,5.444874,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
340,5.485061,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=2536 Ack=75801 Win=3499 Len=0
341,5.528505,172.16.64.10,10.80.0.50,TDS,93,Response
342,5.528605,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call
343,5.568952,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=2575 Ack=76967 Win=3499 Len=0
344,5.622063,172.16.64.10,10.80.0.50,TDS,93,Response
345,5.622147,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
346,5.661946,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=2614 Ack=78133 Win=3499 Len=0
348,5.707164,172.16.64.10,10.80.0.50,TDS,93,Response
349,5.70726,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
350,5.747922,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=2653 Ack=79299 Win=3499 Len=0
352,5.789333,172.16.64.10,10.80.0.50,TDS,93,Response
353,5.789433,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
354,5.829943,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=2692 Ack=80465 Win=3499 Len=0
355,5.874914,172.16.64.10,10.80.0.50,TDS,93,Response
356,5.875025,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
357,5.915013,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=2731 Ack=81631 Win=3499 Len=0
359,5.964405,172.16.64.10,10.80.0.50,TDS,93,Response
360,5.964485,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
361,6.005014,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=2770 Ack=82797 Win=3499 Len=0
362,6.047739,172.16.64.10,10.80.0.50,TDS,93,Response
363,6.047868,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
365,6.087843,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=2809 Ack=83963 Win=3499 Len=0
366,6.130163,172.16.64.10,10.80.0.50,TDS,93,Response
367,6.130275,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call
368,6.169951,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=2848 Ack=85129 Win=3499 Len=0
371,6.2131,172.16.64.10,10.80.0.50,TDS,93,Response
372,6.213255,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
373,6.252998,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=2887 Ack=86295 Win=3499 Len=0
376,6.297212,172.16.64.10,10.80.0.50,TDS,93,Response
377,6.297329,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call
379,6.337935,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=2926 Ack=87461 Win=3499 Len=0
380,6.385699,172.16.64.10,10.80.0.50,TDS,93,Response
381,6.38589,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
382,6.426,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=2965 Ack=88627 Win=3499 Len=0
383,6.468393,172.16.64.10,10.80.0.50,TDS,93,Response
384,6.468556,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
385,6.508994,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=3004 Ack=89793 Win=3499 Len=0
386,6.556807,172.16.64.10,10.80.0.50,TDS,93,Response
387,6.55694,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
389,6.597005,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=3043 Ack=90959 Win=3499 Len=0
390,6.641975,172.16.64.10,10.80.0.50,TDS,93,Response
391,6.642086,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
392,6.681941,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=3082 Ack=92125 Win=3499 Len=0
395,6.725448,172.16.64.10,10.80.0.50,TDS,93,Response
396,6.725542,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
397,6.765917,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=3121 Ack=93291 Win=3499 Len=0
399,6.819797,172.16.64.10,10.80.0.50,TDS,93,Response
400,6.819931,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
401,6.859964,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=3160 Ack=94457 Win=3499 Len=0
402,6.903841,172.16.64.10,10.80.0.50,TDS,93,Response
403,6.904005,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
404,6.943987,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=3199 Ack=95623 Win=3499 Len=0
405,6.987194,172.16.64.10,10.80.0.50,TDS,93,Response
406,6.987351,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
407,7.027948,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=3238 Ack=96789 Win=3499 Len=0
409,7.08361,172.16.64.10,10.80.0.50,TDS,93,Response
410,7.083725,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
411,7.123947,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=3277 Ack=97955 Win=3499 Len=0
412,7.168581,172.16.64.10,10.80.0.50,TDS,93,Response
413,7.168712,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
414,7.208974,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=3316 Ack=99121 Win=3499 Len=0
415,7.251768,172.16.64.10,10.80.0.50,TDS,93,Response
416,7.251883,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
419,7.291916,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=3355 Ack=100287 Win=3499 Len=0
420,7.334055,172.16.64.10,10.80.0.50,TDS,93,Response
421,7.334176,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
425,7.373967,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=3394 Ack=101453 Win=3499 Len=0
426,7.417174,172.16.64.10,10.80.0.50,TDS,93,Response
427,7.417274,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
428,7.456978,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=3433 Ack=102619 Win=3499 Len=0
430,7.511089,172.16.64.10,10.80.0.50,TDS,93,Response
431,7.511182,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
432,7.551017,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=3472 Ack=103785 Win=3499 Len=0
433,7.594142,172.16.64.10,10.80.0.50,TDS,93,Response
434,7.594237,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
436,7.633945,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=3511 Ack=104951 Win=3499 Len=0
437,7.682177,172.16.64.10,10.80.0.50,TDS,93,Response
438,7.682322,10.80.0.50,172.16.64.10,TDS,1222,Remote Procedure Call[Malformed Packet]
439,7.723001,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=3550 Ack=106119 Win=3499 Len=0
440,7.767606,172.16.64.10,10.80.0.50,TDS,93,Response
441,7.767729,10.80.0.50,172.16.64.10,TDS,1222,Remote Procedure Call[Malformed Packet]
443,7.807945,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=3589 Ack=107287 Win=3499 Len=0
445,7.850839,172.16.64.10,10.80.0.50,TDS,93,Response
446,7.850964,10.80.0.50,172.16.64.10,TDS,1222,Remote Procedure Call[Malformed Packet]
447,7.891011,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=3628 Ack=108455 Win=3499 Len=0
449,7.936945,172.16.64.10,10.80.0.50,TDS,93,Response
450,7.937055,10.80.0.50,172.16.64.10,TDS,1220,Remote Procedure Call[Malformed Packet]
451,7.976985,172.16.64.10,10.80.0.50,TCP,60,1433  >  62548 [ACK] Seq=3667 Ack=109621 Win=3499 Len=0
452,8.036173,172.16.64.10,10.80.0.50,TDS,93,Response
453,8.036269,10.80.0.50,172.16.64.10,TDS,1222,Remote Procedure Call[Malformed Packet]
